"Regra","Antecedente","Consequente","support","confidence","coverage","lift","count"
"{LUNCH BAG SPACEBOY DESIGN,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG SPACEBOY DESIGN,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.006,0.96,0.0063,15.7377,24
"{PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0073,0.9355,0.0078,15.3358,29
"{LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0053,0.913,0.0058,14.9679,21
"{PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.006,0.96,0.0063,14.7126,24
"{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.0053,0.9545,0.0055,14.629,21
"{6 RIBBONS RUSTIC CHARM,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{6 RIBBONS RUSTIC CHARM,PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.0053,0.9545,0.0055,14.629,21
"{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8696,0.0058,14.2552,20
"{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES} => {CHARLOTTE BAG SUKI DESIGN}","{CHOCOLATE HOT WATER BOTTLE,LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8696,0.0058,14.2552,20
"{LUNCH BAG SPACEBOY DESIGN,RECIPE BOX PANTRY YELLOW DESIGN,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG SPACEBOY DESIGN,RECIPE BOX PANTRY YELLOW DESIGN,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8696,0.0058,14.2552,20
"{LUNCH BAG SPACEBOY DESIGN,PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG SPACEBOY DESIGN,PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.8696,0.0058,14.2552,20
"{PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,WOODLAND CHARLOTTE BAG} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,WOODLAND CHARLOTTE BAG}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.006,0.9231,0.0065,14.1468,24
"{6 RIBBONS RUSTIC CHARM,NATURAL SLATE HEART CHALKBOARD,RED TOADSTOOL LED NIGHT LIGHT} => {ROSES REGENCY TEACUP AND SAUCER}","{6 RIBBONS RUSTIC CHARM,NATURAL SLATE HEART CHALKBOARD,RED TOADSTOOL LED NIGHT LIGHT}","{ROSES REGENCY TEACUP AND SAUCER}",0.0055,0.88,0.0062,14.08,22
"{60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0075,0.8571,0.0088,14.0515,30
"{LUNCH BAG CARS BLUE,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG CARS BLUE,PACK OF 72 SKULL CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0055,0.8462,0.0065,13.8714,22
"{LUNCH BAG CARS BLUE,PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG CARS BLUE,PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER}","{CHARLOTTE BAG SUKI DESIGN}",0.0055,0.8462,0.0065,13.8714,22
"{CHOCOLATE HOT WATER BOTTLE,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{CHOCOLATE HOT WATER BOTTLE,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0068,0.8438,0.008,13.832,27
"{LUNCH BAG CARS BLUE,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG CARS BLUE,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0068,0.8438,0.008,13.832,27
"{PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","{PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{PAPER CHAIN KIT VINTAGE CHRISTMAS}",0.0063,0.8929,0.007,13.6836,25
"{CHOCOLATE HOT WATER BOTTLE,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{CHOCOLATE HOT WATER BOTTLE,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0063,0.8333,0.0075,13.6612,25
"{LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0063,0.8333,0.0075,13.6612,25
